category_one,category_two,freq,sim,ppl,ppl_2,r_ppl,bert_sim,lev_dist,label
料理机,榨汁机,125,0.8992145955562592,26.98887637897096,16.043157435221346,10.945718943749615,0.91275355219841,2,1.0
水晶杯,葡萄酒杯,14,0.8534317314624786,17.760630702502816,23.455382484753287,5.694751782250471,0.9980587661266327,3,0.0
料理机,榨汁机,125,0.8992145955562592,26.98887637897096,16.043157435221346,10.945718943749615,0.91275355219841,2,1.0
水晶杯,葡萄酒杯,14,0.8534317314624786,17.760630702502816,23.455382484753287,5.694751782250471,0.9980587661266327,3,0.0
料理机,榨汁机,125,0.8992145955562592,26.98887637897096,16.043157435221346,10.945718943749615,0.91275355219841,2,1.0
水晶杯,葡萄酒杯,14,0.8534317314624786,17.760630702502816,23.455382484753287,5.694751782250471,0.9980587661266327,3,0.0
料理机,榨汁机,125,0.8992145955562592,26.98887637897096,16.043157435221346,10.945718943749615,0.91275355219841,2,1.0
水晶杯,葡萄酒杯,14,0.8534317314624786,17.760630702502816,23.455382484753287,5.694751782250471,0.9980587661266327,3,0.0
料理机,榨汁机,125,0.8992145955562592,26.98887637897096,16.043157435221346,10.945718943749615,0.91275355219841,2,1.0
水晶杯,葡萄酒杯,14,0.8534317314624786,17.760630702502816,23.455382484753287,5.694751782250471,0.9980587661266327,3,0.0
料理机,榨汁机,125,0.8992145955562592,26.98887637897096,16.043157435221346,10.945718943749615,0.91275355219841,2,1.0
水晶杯,葡萄酒杯,14,0.8534317314624786,17.760630702502816,23.455382484753287,5.694751782250471,0.9980587661266327,3,0.0
料理机,榨汁机,125,0.8992145955562592,26.98887637897096,16.043157435221346,10.945718943749615,0.91275355219841,2,1.0
水晶杯,葡萄酒杯,14,0.8534317314624786,17.760630702502816,23.455382484753287,5.694751782250471,0.9980587661266327,3,0.0
料理机,榨汁机,125,0.8992145955562592,26.98887637897096,16.043157435221346,10.945718943749615,0.91275355219841,2,1.0
水晶杯,葡萄酒杯,14,0.8534317314624786,17.760630702502816,23.455382484753287,5.694751782250471,0.9980587661266327,3,0.0
料理机,榨汁机,125,0.8992145955562592,26.98887637897096,16.043157435221346,10.945718943749615,0.91275355219841,2,1.0
水晶杯,葡萄酒杯,14,0.8534317314624786,17.760630702502816,23.455382484753287,5.694751782250471,0.9980587661266327,3,0.0
料理机,榨汁机,125,0.8992145955562592,26.98887637897096,16.043157435221346,10.945718943749615,0.91275355219841,2,1.0
水晶杯,葡萄酒杯,14,0.8534317314624786,17.760630702502816,23.455382484753287,5.694751782250471,0.9980587661266327,3,0.0
料理机,榨汁机,125,0.8992145955562592,26.98887637897096,16.043157435221346,10.945718943749615,0.91275355219841,2,1.0
水晶杯,葡萄酒杯,14,0.8534317314624786,17.760630702502816,23.455382484753287,5.694751782250471,0.9980587661266327,3,0.0
料理机,榨汁机,125,0.8992145955562592,26.98887637897096,16.043157435221346,10.945718943749615,0.91275355219841,2,1.0
水晶杯,葡萄酒杯,14,0.8534317314624786,17.760630702502816,23.455382484753287,5.694751782250471,0.9980587661266327,3,0.0
料理机,榨汁机,125,0.8992145955562592,26.98887637897096,16.043157435221346,10.945718943749615,0.91275355219841,2,1.0
水晶杯,葡萄酒杯,14,0.8534317314624786,17.760630702502816,23.455382484753287,5.694751782250471,0.9980587661266327,3,0.0




